,noise,cutoff,true_model,algo,best_model_AIC,best_model_AICc,best_model_BIC,mean_err_AIC,mean_err_AICc,mean_err_BIC
0,5,90,rw1,Nelder-Mead,rw1,rw1,rw1,0.4642314002843346,0.4642314002843346,0.4642314002843346
0,5,90,rw1_att,Nelder-Mead,rw1_att,rw1_att,rw1_att,0.6627126224050521,0.6627126224050521,0.6627126224050521
0,5,90,rw2_val,Nelder-Mead,rw2_val,rw2_val,rw2_val,2.0727498154093933,2.0727498154093933,2.0727498154093933
0,5,90,ph_basic,Nelder-Mead,ph_basic,ph_basic,ph_basic,2.781580901882539,2.781580901882539,2.781580901882539
0,5,90,rw1,Nelder-Mead,rw1,rw1,rw1,3.136194396904835,3.136194396904835,3.136194396904835
0,5,90,rw1_att,Nelder-Mead,ph_basic,ph_basic,ph_basic,4.959765433011428,4.959765433011428,4.959765433011428
0,5,90,rw2_val,Nelder-Mead,rw2_val,rw2_val,rw2_val,4.416137584326484,4.416137584326484,4.416137584326484
0,5,90,ph_basic,Nelder-Mead,ph_basic,ph_basic,ph_basic,2.068972203373202,2.068972203373202,2.068972203373202
0,5,120,rw1,Nelder-Mead,rw1,rw1,rw1,0.6392026722025752,0.6392026722025752,0.6392026722025752
0,5,120,rw1_att,Nelder-Mead,rw1_att,rw1_att,rw1_att,3.3161103826646126,3.3161103826646126,3.3161103826646126
0,5,120,rw2_val,Nelder-Mead,rw1,rw1,rw1,2.039962959981604,2.039962959981604,2.039962959981604
0,5,120,ph_basic,Nelder-Mead,rw2_val,rw2_val,rw2_val,6.3305142212363625,6.3305142212363625,6.3305142212363625
0,5,120,rw1,Nelder-Mead,rw2_val,rw2_val,rw2_val,0.17817498078574287,0.17817498078574287,0.17817498078574287
0,5,120,rw1_att,Nelder-Mead,rw1,rw1,rw1,2.5500481688395817,2.5500481688395817,2.5500481688395817
0,5,120,rw2_val,Nelder-Mead,rw1,rw1,rw1,2.5899558630197586,2.5899558630197586,2.5899558630197586
0,5,120,ph_basic,Nelder-Mead,rw2_val,rw2_val,rw2_val,4.1677287626548,4.1677287626548,4.1677287626548
0,5,150,rw1,Nelder-Mead,rw1,rw1,rw1,0.8961727972055585,0.8961727972055585,0.8961727972055585
0,5,150,rw1_att,Nelder-Mead,rw2_val,rw2_val,rw2_val,28.635434990877506,28.635434990877506,28.635434990877506
0,5,150,rw2_val,Nelder-Mead,rw2_val,rw2_val,rw2_val,6.262279132060647,6.262279132060647,6.262279132060647
0,5,150,ph_basic,Nelder-Mead,ph_basic,ph_basic,ph_basic,1.146682121111109,1.146682121111109,1.146682121111109
